latitude,longitude,brightness,confidence,acq_date,acq_time,frp,land_cover,vegetation_index,distance_to_industry_km,location_key,persistence_count,land_cover_code,source_class,classification_confidence,confidence_percent,risk_score,nearest_industry,industry_type
12.88697,77.69639,324.55,74,2026-03-01,1580,5.65,agriculture,0.676,3.5320419766764437,12.89_77.7,1,3,Other Thermal Source,0.4,40.0,22.79,Bengaluru Industrial Site 0821,Power Plant
20.99785,86.94389,333.76,89,2026-05-10,1817,17.86,agriculture,0.278,100.86129207865936,21.0_86.94,1,3,Agricultural Burning,0.5,50.0,21.12,Bhubaneswar Industrial Site 0837,Paper Mill
18.65314,73.87121,388.32,94,2026-05-06,712,47.9,agriculture,0.676,0.0099281418200759,18.65_73.87,1,3,Agricultural Burning,0.8,80.0,58.7,Pune Industrial Site 0056,Textile Industry
26.14675,80.6522,397.94,97,2026-03-21,1868,66.46,built_up,0.023,0.065949321450882,26.15_80.65,1,1,Other Thermal Source,0.8,80.0,51.8,Kanpur Industrial Site 0251,Power Plant
27.02236,75.56563,366.29,91,2026-07-31,753,78.52,built_up,0.023,5.159663040858283,27.02_75.57,1,1,Other Thermal Source,0.6,60.0,48.6,Jaipur Industrial Site 0297,Paper Mill
26.1374,80.09882,327.92,85,2026-08-24,1018,8.04,built_up,0.023,24.084889603170595,26.14_80.1,2,1,Other Thermal Source,0.35,35.0,28.43,Kanpur Industrial Site 0443,Cement Plant
17.61646,83.54923,317.13,66,2026-07-29,2186,2.6,agriculture,0.676,13.82846580243051,17.62_83.55,1,3,Other Thermal Source,0.2,20.0,14.55,Visakhapatnam Industrial Site 0358,Thermal Power Plant
23.46935,85.1675,327.51,86,2026-07-08,1439,7.76,mining,0.114,3.6224540059195744,23.47_85.17,2,4,Other Thermal Source,0.55,55.0,35.84,Ranchi Industrial Site 0835,Chemical Plant
19.80423,75.42511,393.05,100,2026-08-05,1767,84.36,agriculture,0.676,0.0301952645293513,19.8_75.43,1,3,Agricultural Burning,0.8,80.0,65.85,Aurangabad Industrial Site 0092,Steel Plant
24.73379,85.0091,406.06,99,2026-02-17,167,60.41,forest,0.71,0.0362920776475467,24.73_85.01,2,2,Wildfire,0.8,80.0,69.5,Gaya Industrial Site 0178,Thermal Power Plant
26.48785,80.34606,397.87,93,2026-03-18,171,86.03,built_up,0.023,0.0417837970989174,26.49_80.35,3,1,Other Thermal Source,1.0,100.0,81.74,Kanpur Industrial Site 0011,Power Plant
18.40419,74.08679,376.63,97,2026-04-22,1242,65.96,agriculture,0.676,0.0497027212533483,18.4_74.09,3,3,Agricultural Burning,1.0,100.0,73.99,Pune Industrial Site 0344,Refinery
19.57898,72.91782,403.35,99,2026-07-26,1164,32.06,agriculture,0.676,0.0397435806142843,19.58_72.92,2,3,Agricultural Burning,0.8,80.0,59.98,Thane Industrial Site 0045,Chemical Plant
19.97684,75.45161,377.68,90,2026-03-24,102,33.15,agriculture,0.676,6.128210680231431,19.98_75.45,1,3,Agricultural Burning,0.6,60.0,34.44,Aurangabad Industrial Site 0668,Thermal Power Plant
10.85414,77.11378,372.28,91,2026-07-24,1289,27.56,agriculture,0.676,0.0580817510059601,10.85_77.11,2,3,Agricultural Burning,0.8,80.0,53.64,Coimbatore Industrial Site 0072,Steel Plant
26.13764,80.09873,344.61,91,2026-08-12,1645,8.14,built_up,0.023,24.069846950012145,26.14_80.1,2,1,Other Thermal Source,0.35,35.0,28.55,Kanpur Industrial Site 0443,Cement Plant
17.74813,83.33992,398.95,98,2026-03-13,875,54.52,agriculture,0.676,0.0323617830164647,17.75_83.34,3,3,Agricultural Burning,1.0,100.0,75.0,Visakhapatnam Industrial Site 0022,Steel Plant
25.99922,81.76253,343.42,93,2026-01-10,1108,7.6,built_up,0.023,99.05186392790849,26.0_81.76,2,1,Other Thermal Source,0.35,35.0,25.79,Lucknow Industrial Site 0394,Refinery
31.3849,75.89753,339.18,59,2026-05-30,1759,11.52,built_up,0.023,11.22481922544869,31.38_75.9,1,1,Other Thermal Source,0.35,35.0,21.27,Jalandhar Industrial Site 0334,Refinery
21.36413,81.68782,399.08,100,2026-03-05,1983,25.73,agriculture,0.676,0.0549646177095488,21.36_81.69,3,3,Agricultural Burning,1.0,100.0,60.21,Raipur Industrial Site 0031,Power Plant
28.84806,77.07151,373.81,91,2026-03-14,1855,47.24,built_up,0.023,10.350132190677796,28.85_77.07,2,1,Other Thermal Source,0.6,60.0,48.11,Faridabad Industrial Site 0662,Steel Plant
22.87377,86.42424,409.96,92,2026-06-03,563,118.35,agriculture,0.278,0.0719790281952859,22.87_86.42,2,3,Agricultural Burning,0.8,80.0,75.25,Jamshedpur Industrial Site 0164,Refinery
21.32884,81.92592,312.52,60,2026-05-28,1043,0.8,agriculture,0.676,14.043729869977971,21.33_81.93,1,3,Other Thermal Source,0.2,20.0,13.78,Raipur Industrial Site 0271,Power Plant
16.51982,80.41125,387.89,96,2026-01-29,2171,85.38,agriculture,0.676,0.0129922169015187,16.52_80.41,2,3,Agricultural Burning,0.8,80.0,81.07,Vijayawada Industrial Site 0263,Cement Plant
23.39823,77.59262,381.91,89,2026-05-02,1694,62.49,agriculture,0.676,5.345625512220865,23.4_77.59,1,3,Agricultural Burning,0.6,60.0,44.25,Bhopal Industrial Site 0445,Chemical Plant
23.40006,87.59462,366.68,93,2026-01-02,1108,50.15,agriculture,0.278,14.73306851083676,23.4_87.59,1,3,Agricultural Burning,0.6,60.0,35.36,Durgapur Industrial Site 0032,Steel Plant
19.85485,73.7921,382.58,84,2026-02-28,603,17.7,agriculture,0.676,6.240461560694063,19.85_73.79,1,3,Agricultural Burning,0.5,50.0,28.96,Nashik Industrial Site 1051,Power Plant
31.17208,75.56439,378.06,84,2026-08-05,1085,22.36,built_up,0.023,6.656056482483693,31.17_75.56,1,1,Other Thermal Source,0.6,60.0,30.68,Jalandhar Industrial Site 0238,Thermal Power Plant
28.73394,77.49826,372.45,96,2026-03-14,851,40.43,built_up,0.023,10.895271932833928,28.73_77.5,1,1,Other Thermal Source,0.6,60.0,33.82,Delhi Industrial Site 0673,Cement Plant
29.49794,78.41955,334.09,81,2026-02-26,735,18.03,built_up,0.023,108.40197055111156,29.5_78.42,5,1,Other Thermal Source,0.7,70.0,42.48,Delhi Industrial Site 0097,Paper Mill
26.40095,72.81675,375.76,97,2026-07-27,1311,54.3,built_up,0.023,0.0704915548129477,26.4_72.82,2,1,Other Thermal Source,0.8,80.0,59.15,Jodhpur Industrial Site 0030,Industrial Estate
23.3431,85.39389,382.99,99,2026-06-10,1401,107.83,agriculture,0.607,0.0099281418197232,23.34_85.39,1,3,Agricultural Burning,0.8,80.0,74.75,Ranchi Industrial Site 0067,Paper Mill
23.43518,77.3749,384.32,98,2026-05-27,1916,40.47,agriculture,0.676,0.048688401082723,23.44_77.37,2,3,Agricultural Burning,0.8,80.0,60.35,Bhopal Industrial Site 0349,Manufacturing Unit
23.43397,85.27901,378.21,97,2026-02-25,113,93.47,agriculture,0.607,0.0249441476096352,23.43_85.28,2,3,Agricultural Burning,0.8,80.0,81.18,Ranchi Industrial Site 0163,Cement Plant
21.26748,86.55873,344.83,95,2026-08-24,1545,12.85,agriculture,0.278,101.5589201053991,21.27_86.56,1,3,Agricultural Burning,0.5,50.0,17.05,Bhubaneswar Industrial Site 0837,Paper Mill
26.02388,91.74912,408.14,94,2026-02-18,1026,41.28,built_up,0.161,0.0477429052317002,26.02_91.75,3,1,Other Thermal Source,1.0,100.0,67.2,Guwahati Industrial Site 0362,Steel Plant
30.11887,76.71539,344.56,95,2026-07-12,1324,23.54,built_up,0.023,57.56075682311701,30.12_76.72,3,1,Other Thermal Source,0.8,80.0,43.61,Panipat Industrial Site 0287,Paper Mill
28.49794,76.88213,392.04,94,2026-03-20,54,32.82,built_up,0.023,0.0455099999999025,28.5_76.88,2,1,Other Thermal Source,0.8,80.0,58.5,Gurugram Industrial Site 0279,Manufacturing Unit
28.45009,76.76115,407.81,97,2026-08-10,1268,99.25,built_up,0.023,0.0703603425234511,28.45_76.76,4,1,Other Thermal Source,1.0,100.0,80.5,Gurugram Industrial Site 0135,Chemical Plant
17.37881,78.70879,405.54,99,2026-03-23,2394,42.75,agriculture,0.676,0.0345350951943532,17.38_78.71,2,3,Agricultural Burning,0.8,80.0,64.9,Hyderabad Industrial Site 0150,Industrial Estate
9.58492,76.0908,327.4,72,2026-05-05,88,14.4,agriculture,0.676,18.65647388271626,9.58_76.09,1,3,Agricultural Burning,0.35,35.0,21.61,Kochi Industrial Site 0697,Paper Mill
21.00692,72.76705,388.52,100,2026-04-24,2387,33.96,agriculture,0.676,0.0526519230418055,21.01_72.77,3,3,Agricultural Burning,1.0,100.0,63.05,Surat Industrial Site 0160,Industrial Estate
23.40786,74.04713,320.69,93,2026-05-02,1911,15.69,agriculture,0.676,117.12646055694265,23.41_74.05,1,3,Agricultural Burning,0.5,50.0,18.28,Ahmedabad Industrial Site 0055,Chemical Plant
19.57925,72.91806,401.19,95,2026-02-15,2394,81.51,agriculture,0.676,0.0592057809674578,19.58_72.92,2,3,Agricultural Burning,0.8,80.0,69.14,Thane Industrial Site 0045,Chemical Plant
24.78309,84.6907,303.53,58,2026-05-21,1548,4.29,agriculture,0.676,3.1647982388767875,24.78_84.69,1,3,Other Thermal Source,0.4,40.0,22.3,Gaya Industrial Site 0082,Steel Plant
20.21314,82.57305,334.0,94,2026-08-08,642,5.88,agriculture,0.676,120.33010648342264,20.21_82.57,2,3,Other Thermal Source,0.35,35.0,23.25,Raipur Industrial Site 0991,Power Plant
28.32363,73.60315,335.94,65,2026-03-26,1922,11.48,built_up,0.023,16.194256849120755,28.32_73.6,1,1,Other Thermal Source,0.35,35.0,19.83,Bikaner Industrial Site 0605,Chemical Plant
21.84981,73.8877,327.65,91,2026-08-31,2191,16.63,agriculture,0.676,59.580195524308905,21.85_73.89,1,3,Agricultural Burning,0.5,50.0,21.89,Vadodara Industrial Site 0305,Chemical Plant
28.35824,77.3452,302.67,72,2026-07-01,1101,17.89,built_up,0.023,2.4437816568793598,28.36_77.35,1,1,Other Thermal Source,0.55,55.0,32.3,Noida Industrial Site 0520,Industrial Estate
12.97402,80.3608,383.69,99,2026-05-25,1090,99.15,agriculture,0.676,0.0696740554296514,12.97_80.36,1,3,Agricultural Burning,0.8,80.0,59.79,Chennai Industrial Site 0148,Thermal Power Plant
29.39302,76.93232,382.61,90,2026-07-10,571,44.97,built_up,0.023,6.914308679347673,29.39_76.93,1,1,Other Thermal Source,0.6,60.0,37.75,Panipat Industrial Site 0095,Chemical Plant
19.7441,73.80705,330.2,40,2026-02-28,322,1.94,agriculture,0.676,6.310008302094333,19.74_73.81,1,3,Other Thermal Source,0.0,0.0,18.01,Nashik Industrial Site 1051,Power Plant
22.38625,84.26821,343.11,84,2026-03-20,912,22.6,agriculture,0.676,123.96269526092004,22.39_84.27,1,3,Agricultural Burning,0.6,60.0,21.65,Ranchi Industrial Site 0739,Manufacturing Unit
31.81298,75.06697,362.29,88,2026-01-15,1722,15.94,built_up,0.023,9.71441281735478,31.81_75.07,1,1,Other Thermal Source,0.5,50.0,25.63,Amritsar Industrial Site 0220,Industrial Estate
10.09612,76.183,381.44,96,2026-05-01,2101,37.92,agriculture,0.676,0.0779612038128494,10.1_76.18,2,3,Agricultural Burning,0.8,80.0,52.55,Kochi Industrial Site 0169,Manufacturing Unit
31.83306,74.78482,399.49,98,2026-09-08,2250,42.96,built_up,0.023,0.0643895682552164,31.83_74.78,1,1,Other Thermal Source,0.8,80.0,45.14,Amritsar Industrial Site 0172,Steel Plant
21.13493,78.97685,375.87,100,2026-07-27,446,92.98,agriculture,0.676,0.0315521282958005,21.13_78.98,1,3,Agricultural Burning,0.8,80.0,67.9,Nagpur Industrial Site 0159,Manufacturing Unit
16.49215,80.72319,374.87,98,2026-04-02,1552,26.26,agriculture,0.676,0.0362411175322257,16.49_80.72,3,3,Agricultural Burning,1.0,100.0,65.76,Vijayawada Industrial Site 0167,Paper Mill
17.41473,79.83354,325.91,89,2026-06-30,527,8.75,agriculture,0.676,74.78204303521608,17.41_79.83,1,3,Other Thermal Source,0.35,35.0,15.74,Vijayawada Industrial Site 0839,Manufacturing Unit
19.55585,75.56988,402.07,97,2026-01-30,1297,36.75,agriculture,0.676,0.0468309513042182,19.56_75.57,1,3,Agricultural Burning,0.8,80.0,47.53,Aurangabad Industrial Site 0332,Steel Plant
21.07889,81.49292,374.55,99,2026-01-19,741,114.77,agriculture,0.676,0.0402212294687325,21.08_81.49,2,3,Agricultural Burning,0.8,80.0,82.52,Raipur Industrial Site 0319,Manufacturing Unit
9.19183,75.18709,326.34,94,2026-04-04,1082,7.45,agriculture,0.676,109.54412392374256,9.19_75.19,1,3,Other Thermal Source,0.35,35.0,12.93,Kochi Industrial Site 0553,Cement Plant
29.29502,77.16191,373.5,92,2026-01-28,2295,25.94,built_up,0.023,0.044621447757814,29.3_77.16,2,1,Other Thermal Source,0.8,80.0,57.09,Panipat Industrial Site 0047,Paper Mill
19.28434,74.44551,327.29,85,2026-03-16,2094,19.55,agriculture,0.676,55.92981909792257,19.28_74.45,2,3,Agricultural Burning,0.5,50.0,36.0,Nashik Industrial Site 0763,Cement Plant
21.15599,78.99999,381.16,98,2026-04-03,1957,25.61,agriculture,0.676,0.0189026188660184,21.16_79.0,2,3,Agricultural Burning,0.8,80.0,62.82,Nagpur Industrial Site 0351,Power Plant
23.18717,70.05843,341.63,90,2026-08-30,1699,23.06,agriculture,0.676,97.09565864857696,23.19_70.06,3,3,Agricultural Burning,0.8,80.0,41.59,Rajkot Industrial Site 0834,Refinery
25.26644,85.89682,358.79,95,2026-08-24,2041,27.02,agriculture,0.278,13.693838946741236,25.27_85.9,1,3,Agricultural Burning,0.6,60.0,28.7,Begusarai Industrial Site 0227,Paper Mill
20.61405,73.03199,408.97,94,2026-04-01,854,68.79,agriculture,0.676,0.0466860246753396,20.61_73.03,2,3,Agricultural Burning,0.8,80.0,69.29,Vapi Industrial Site 0096,Textile Industry
31.54106,74.8728,389.3,99,2026-01-02,1825,31.3,built_up,0.023,0.0218080398019087,31.54_74.87,3,1,Other Thermal Source,1.0,100.0,69.86,Amritsar Industrial Site 0124,Refinery
22.64717,88.38222,386.11,96,2026-07-08,2103,76.35,agriculture,0.278,0.0645329218315516,22.65_88.38,3,3,Agricultural Burning,1.0,100.0,72.8,Kolkata Industrial Site 0099,Manufacturing Unit
21.38987,73.03016,302.9,56,2026-04-05,1508,3.39,agriculture,0.676,8.231299657435548,21.39_73.03,1,3,Other Thermal Source,0.2,20.0,17.93,Surat Industrial Site 0928,Thermal Power Plant
28.63794,77.373,407.31,96,2026-06-13,1850,60.15,built_up,0.023,0.0337593320427198,28.64_77.37,3,1,Other Thermal Source,1.0,100.0,76.12,Noida Industrial Site 0280,Industrial Estate
29.50235,77.20186,384.15,92,2026-05-05,1433,24.56,built_up,0.023,11.22309604630133,29.5_77.2,1,1,Other Thermal Source,0.6,60.0,28.83,Panipat Industrial Site 0719,Manufacturing Unit
23.1206,72.59228,351.67,91,2026-04-18,136,20.19,agriculture,0.676,4.2598002462326106,23.12_72.59,1,3,Agricultural Burning,0.8,80.0,32.0,Ahmedabad Industrial Site 0151,Power Plant
28.01297,74.85706,335.67,89,2026-08-13,2020,5.5,built_up,0.023,117.47892371571696,28.01_74.86,2,1,Other Thermal Source,0.35,35.0,23.14,Jaipur Industrial Site 1161,Power Plant
20.2024,80.49069,343.83,92,2026-08-06,1105,17.78,agriculture,0.676,124.61455793038814,20.2_80.49,1,3,Agricultural Burning,0.5,50.0,19.58,Raipur Industrial Site 0223,Cement Plant
21.25289,73.00615,405.62,97,2026-04-16,411,80.72,agriculture,0.676,0.0747665546889901,21.25_73.01,1,3,Agricultural Burning,0.8,80.0,53.75,Surat Industrial Site 0064,Refinery
9.96366,76.6048,327.03,70,2026-04-12,321,9.02,agriculture,0.676,18.47594609882815,9.96_76.6,1,3,Other Thermal Source,0.2,20.0,17.85,Kochi Industrial Site 0409,Manufacturing Unit
19.71094,75.43713,380.13,98,2026-07-11,1326,88.43,agriculture,0.676,0.0507210488848939,19.71_75.44,1,3,Agricultural Burning,0.8,80.0,61.78,Aurangabad Industrial Site 0284,Refinery
25.1397,74.07172,327.68,93,2026-02-02,353,13.55,industrial,0.012,129.57395061999304,25.14_74.07,2,0,Other Thermal Source,0.5,50.0,27.91,Jodhpur Industrial Site 0174,Refinery
22.96353,70.11019,329.88,87,2026-06-23,1566,3.17,agriculture,0.676,74.12808859584722,22.96_70.11,2,3,Other Thermal Source,0.35,35.0,24.14,Rajkot Industrial Site 0834,Refinery
19.04572,76.30811,326.75,85,2026-08-07,1833,8.16,agriculture,0.676,99.5687339731954,19.05_76.31,1,3,Other Thermal Source,0.35,35.0,14.21,Aurangabad Industrial Site 0332,Steel Plant
19.2489,72.47902,378.95,97,2026-09-20,1715,35.76,agriculture,0.676,0.0481924112291438,19.25_72.48,2,3,Agricultural Burning,0.8,80.0,58.79,Mumbai Industrial Site 0050,Industrial Estate
31.24783,74.93011,397.64,94,2026-07-05,1436,86.36,built_up,0.023,0.0133661699822481,31.25_74.93,2,1,Other Thermal Source,0.8,80.0,81.36,Amritsar Industrial Site 0076,Textile Industry
19.19845,74.78922,332.07,86,2026-02-25,515,4.75,agriculture,0.676,58.91928542433804,19.2_74.79,4,3,Other Thermal Source,0.55,55.0,34.95,Aurangabad Industrial Site 0812,Steel Plant
22.29113,73.39943,344.1,86,2026-09-15,1562,12.92,agriculture,0.676,9.353607500986152,22.29_73.4,2,3,Agricultural Burning,0.5,50.0,35.35,Vadodara Industrial Site 0449,Manufacturing Unit
25.72404,86.09794,383.78,100,2026-01-31,1060,40.52,industrial,0.167,0.0140405128107407,25.72_86.1,1,0,Industrial Fire,0.8,80.0,56.01,Begusarai Industrial Site 0371,Power Plant
25.36216,76.00854,335.27,70,2026-03-10,378,4.75,industrial,0.012,8.834363365092715,25.36_76.01,1,0,Other Thermal Source,0.2,20.0,18.57,Kota Industrial Site 0953,Cement Plant
26.29898,80.64282,391.49,96,2026-01-21,2378,86.07,built_up,0.023,0.0464744155422251,26.3_80.64,4,1,Other Thermal Source,1.0,100.0,83.29,Kanpur Industrial Site 0347,Paper Mill
22.5805,85.30606,335.09,86,2026-06-12,1825,4.16,agriculture,0.607,58.93156163131098,22.58_85.31,2,3,Other Thermal Source,0.35,35.0,25.42,Ranchi Industrial Site 0019,Manufacturing Unit
23.43325,85.40392,389.01,95,2026-08-07,534,32.06,agriculture,0.607,0.0688557971414477,23.43_85.4,1,3,Agricultural Burning,0.8,80.0,40.63,Ranchi Industrial Site 0307,Paper Mill
27.03652,77.95732,381.68,97,2026-04-26,2354,44.29,built_up,0.023,2.74052975632455,27.04_77.96,1,1,Other Thermal Source,0.8,80.0,40.9,Agra Industrial Site 0906,Textile Industry
26.56995,80.23381,401.98,95,2026-06-23,1209,75.98,built_up,0.023,0.0551101306465469,26.57_80.23,1,1,Other Thermal Source,0.8,80.0,56.8,Kanpur Industrial Site 0203,Cement Plant
25.65315,85.38786,397.39,91,2026-08-15,2394,61.27,built_up,0.152,0.0552998390593177,25.65_85.39,3,1,Other Thermal Source,1.0,100.0,70.69,Patna Industrial Site 0204,Refinery
