latitude,longitude,brightness,confidence,acq_date,acq_time,frp,detections,persistent,avg_brightness,avg_confidence,total_frp,nearest_site,site_type,distance_km,source_class,risk_score,risk_level
10.01416,76.17392,392.7,95,2026-01-10,1633,72.52,1,False,392.7,95.0,72.52,Kochi Industrial Site 0217,Paper Mill,0.04931164462443199,High Intensity Fire,70,Medium
24.33419,74.98823,340.68,94,2026-06-18,1483,20.03,3,True,337.5466666666667,90.33333333333333,42.1,Kota Industrial Site 0329,Manufacturing Unit,101.24962279805209,Persistent Non-Industrial Thermal Source,45,Low
28.65386,77.09682,406.41,92,2026-06-28,2090,95.86,2,False,403.995,93.5,199.57999999999998,Gurugram Industrial Site 0375,Chemical Plant,0.04363382807801194,High Intensity Fire,70,Medium
22.89709,88.35616,409.74,94,2026-02-05,982,82.99,3,True,403.1366666666667,96.33333333333333,219.45,Kolkata Industrial Site 0051,Power Plant,0.01601425801085379,Persistent Industrial Source,90,High
23.53784,87.47296,392.79,95,2026-07-01,1814,86.93,2,False,391.655,95.5,206.55,Durgapur Industrial Site 0080,Industrial Estate,0.04927501069982036,High Intensity Fire,70,Medium
26.21456,91.79768,387.8,92,2026-04-01,1071,72.66,1,False,387.8,92.0,72.66,Guwahati Industrial Site 0218,Thermal Power Plant,5.428650935558914,High Intensity Fire,50,Medium
21.48027,81.59218,309.75,43,2026-06-04,832,0.73,1,False,309.75,43.0,0.73,Raipur Industrial Site 1087,Paper Mill,9.148863395062277,Other Thermal Anomaly,0,Low
25.86113,84.70085,376.08,93,2026-02-22,1267,62.76,3,True,384.90000000000003,94.33333333333333,198.84,Patna Industrial Site 0012,Steel Plant,0.04004267696956781,Persistent Industrial Source,90,High
22.41424,70.76595,383.97,97,2026-06-30,2238,59.91,2,False,384.42,97.5,177.82999999999998,Rajkot Industrial Site 0114,Refinery,0.03580631836105596,High Intensity Fire,70,Medium
12.95624,77.66708,382.13,92,2026-07-04,734,84.35,2,False,381.275,93.5,182.91,Bengaluru Industrial Site 0149,Manufacturing Unit,0.07764494036297188,High Intensity Fire,70,Medium
28.87083,77.67118,390.24,91,2026-05-12,1109,58.22,2,False,398.8,94.0,99.02,Delhi Industrial Site 0097,Paper Mill,0.024571138815574788,High Intensity Fire,70,Medium
25.19805,75.67012,396.78,92,2026-06-02,2056,33.37,2,False,400.22,92.5,63.06999999999999,Kota Industrial Site 0377,Paper Mill,0.015567289730043924,High Intensity Fire,70,Medium
14.12469,79.39929,331.85,91,2026-07-09,2269,19.21,1,False,331.85,91.0,19.21,Chennai Industrial Site 0484,Refinery,108.18665155220131,Other Thermal Anomaly,25,Low
23.32108,85.83363,338.18,73,2026-07-20,1456,16.09,1,False,338.18,73.0,16.09,Bokaro Industrial Site 0325,Chemical Plant,19.225123102708228,Other Thermal Anomaly,0,Low
23.72293,87.33486,378.5,98,2026-02-02,575,60.05,3,True,386.64000000000004,96.66666666666667,228.51999999999998,Durgapur Industrial Site 0272,Steel Plant,0.043604006808172585,Persistent Industrial Source,90,High
17.31202,78.60723,408.83,92,2026-05-10,1178,58.53,2,False,404.99,91.5,150.17000000000002,Hyderabad Industrial Site 0102,Steel Plant,0.04272789735864954,High Intensity Fire,70,Medium
23.45285,86.91402,372.81,98,2026-03-09,1597,64.21,2,False,372.48,98.5,103.97,Asansol Industrial Site 0177,Paper Mill,0.020432056474923823,High Intensity Fire,70,Medium
10.01227,76.11787,322.96,90,2026-01-14,2136,6.52,3,True,330.90333333333336,92.33333333333333,32.93,Kochi Industrial Site 0217,Paper Mill,6.187729647013273,Persistent Non-Industrial Thermal Source,45,Low
18.39071,73.63707,338.76,89,2026-05-10,1629,3.9,1,False,338.76,89.0,3.9,Pune Industrial Site 0920,Industrial Estate,4.12018610994215,Other Thermal Anomaly,15,Low
28.55865,77.04191,357.51,86,2026-06-03,87,42.64,1,False,357.51,86.0,42.64,Gurugram Industrial Site 0519,Manufacturing Unit,1.0886744037393377,High Intensity Fire,40,Low
22.40895,73.64615,407.66,95,2026-03-23,864,36.54,4,True,391.73,95.0,267.26,Vadodara Industrial Site 0065,Chemical Plant,0.03402135828646763,Persistent Industrial Source,90,High
23.72308,87.33501,382.98,98,2026-04-23,1491,114.91,3,True,386.64000000000004,96.66666666666667,228.51999999999998,Durgapur Industrial Site 0272,Steel Plant,0.06607527411952742,Persistent Industrial Source,90,High
21.58882,74.77706,328.57,90,2026-09-01,1151,23.26,1,False,328.57,90.0,23.26,Indore Industrial Site 0014,Refinery,129.1201702297261,Other Thermal Anomaly,25,Low
12.88697,77.69639,324.55,74,2026-03-01,1580,5.65,1,False,324.55,74.0,5.65,Bengaluru Industrial Site 0821,Power Plant,3.491353610964455,Other Thermal Anomaly,0,Low
20.99785,86.94389,333.76,89,2026-05-10,1817,17.86,1,False,333.76,89.0,17.86,Bhubaneswar Industrial Site 0837,Paper Mill,97.35422729732989,Other Thermal Anomaly,15,Low
18.65314,73.87121,388.32,94,2026-05-06,712,47.9,1,False,388.32,94.0,47.9,Pune Industrial Site 0056,Textile Industry,0.00984331150133552,High Intensity Fire,70,Medium
26.14675,80.6522,397.94,97,2026-03-21,1868,66.46,1,False,397.94,97.0,66.46,Kanpur Industrial Site 0251,Power Plant,0.059403705100102684,High Intensity Fire,70,Medium
27.02236,75.56563,366.29,91,2026-07-31,753,78.52,1,False,366.29,91.0,78.52,Jaipur Industrial Site 0297,Paper Mill,4.723178911916094,High Intensity Fire,40,Low
26.1374,80.09882,327.92,85,2026-08-24,1018,8.04,1,False,327.92,85.0,8.04,Kanpur Industrial Site 0443,Cement Plant,23.23801881725072,Other Thermal Anomaly,15,Low
17.61646,83.54923,317.13,66,2026-07-29,2186,2.6,1,False,317.13,66.0,2.6,Visakhapatnam Industrial Site 0358,Thermal Power Plant,13.37006866112685,Other Thermal Anomaly,0,Low
23.46935,85.1675,327.51,86,2026-07-08,1439,7.76,2,False,331.46000000000004,86.0,27.810000000000002,Ranchi Industrial Site 0835,Chemical Plant,3.460867054684379,Other Thermal Anomaly,15,Low
19.80423,75.42511,393.05,100,2026-08-05,1767,84.36,1,False,393.05,100.0,84.36,Aurangabad Industrial Site 0092,Steel Plant,0.02909062015839399,High Intensity Fire,70,Medium
24.73379,85.0091,406.06,99,2026-02-17,167,60.41,2,False,389.25,95.5,154.26,Gaya Industrial Site 0178,Thermal Power Plant,0.03356990153887777,High Intensity Fire,70,Medium
26.48785,80.34606,397.87,93,2026-03-18,171,86.03,3,True,392.1333333333334,92.33333333333333,232.67000000000002,Kanpur Industrial Site 0011,Power Plant,0.03785847762514094,Persistent Industrial Source,90,High
18.40419,74.08679,376.63,97,2026-04-22,1242,65.96,3,True,383.95666666666665,97.66666666666667,280.42,Pune Industrial Site 0344,Refinery,0.04918734664781991,Persistent Industrial Source,90,High
19.57898,72.91782,403.35,99,2026-07-26,1164,32.06,2,False,402.27,97.0,113.57000000000001,Thane Industrial Site 0045,Chemical Plant,0.03831884461953969,High Intensity Fire,70,Medium
19.97684,75.45161,377.68,90,2026-03-24,102,33.15,1,False,377.68,90.0,33.15,Aurangabad Industrial Site 0668,Thermal Power Plant,6.03072175792847,High Intensity Fire,50,Medium
10.85414,77.11378,372.28,91,2026-07-24,1289,27.56,2,False,389.26,92.0,143.34,Coimbatore Industrial Site 0072,Steel Plant,0.05734539445783364,High Intensity Fire,70,Medium
26.13764,80.09873,344.61,91,2026-08-12,1645,8.14,1,False,344.61,91.0,8.14,Kanpur Industrial Site 0443,Cement Plant,23.22112882914658,Other Thermal Anomaly,25,Low
17.74813,83.33992,398.95,98,2026-03-13,875,54.52,3,True,396.81666666666666,97.33333333333333,238.34,Visakhapatnam Industrial Site 0022,Steel Plant,0.03240266150448548,Persistent Industrial Source,90,High
25.99922,81.76253,343.42,93,2026-01-10,1108,7.6,2,False,338.65,89.0,21.64,Lucknow Industrial Site 0394,Refinery,94.32046300461832,Other Thermal Anomaly,25,Low
31.3849,75.89753,339.18,59,2026-05-30,1759,11.52,1,False,339.18,59.0,11.52,Jalandhar Industrial Site 0334,Refinery,10.953084798104973,Other Thermal Anomaly,0,Low
21.36413,81.68782,399.08,100,2026-03-05,1983,25.73,3,True,383.47333333333336,97.0,172.01999999999998,Raipur Industrial Site 0031,Power Plant,0.05331080451920231,Persistent Industrial Source,90,High
28.84806,77.07151,373.81,91,2026-03-14,1855,47.24,1,False,373.81,91.0,47.24,Delhi Industrial Site 0721,Power Plant,10.044135919599338,High Intensity Fire,50,Medium
22.87377,86.42424,409.96,92,2026-06-03,563,118.35,2,False,397.72,95.0,204.82999999999998,Jamshedpur Industrial Site 0164,Refinery,0.07100761029270021,High Intensity Fire,70,Medium
21.32884,81.92592,312.52,60,2026-05-28,1043,0.8,1,False,312.52,60.0,0.8,Raipur Industrial Site 0271,Power Plant,13.254444643993573,Other Thermal Anomaly,0,Low
16.51982,80.41125,387.89,96,2026-01-29,2171,85.38,2,False,381.595,96.0,188.55,Vijayawada Industrial Site 0263,Cement Plant,0.012541722229445548,High Intensity Fire,70,Medium
23.39823,77.59262,381.91,89,2026-05-02,1694,62.49,1,False,381.91,89.0,62.49,Bhopal Industrial Site 0445,Chemical Plant,5.297966384357654,High Intensity Fire,40,Low
23.40006,87.59462,366.68,93,2026-01-02,1108,50.15,1,False,366.68,93.0,50.15,Durgapur Industrial Site 0032,Steel Plant,14.267502736710522,High Intensity Fire,40,Low
19.85485,73.7921,382.58,84,2026-02-28,603,17.7,1,False,382.58,84.0,17.7,Nashik Industrial Site 1051,Power Plant,6.251287710920343,High Intensity Fire,40,Low
31.17208,75.56439,378.06,84,2026-08-05,1085,22.36,1,False,378.06,84.0,22.36,Jalandhar Industrial Site 0238,Thermal Power Plant,5.877038962234442,High Intensity Fire,40,Low
28.73394,77.49826,372.45,96,2026-03-14,851,40.43,1,False,372.45,96.0,40.43,Delhi Industrial Site 0673,Cement Plant,10.216807186469035,High Intensity Fire,50,Medium
29.49794,78.41955,334.09,81,2026-02-26,735,18.03,1,False,334.09,81.0,18.03,Delhi Industrial Site 0097,Paper Mill,100.72015542372378,Other Thermal Anomaly,15,Low
26.40095,72.81675,375.76,97,2026-07-27,1311,54.3,2,False,384.625,95.0,96.72999999999999,Jodhpur Industrial Site 0030,Industrial Estate,0.06474786794198924,High Intensity Fire,70,Medium
23.3431,85.39389,382.99,99,2026-06-10,1401,107.83,1,False,382.99,99.0,107.83,Ranchi Industrial Site 0067,Paper Mill,0.0093000323111166,High Intensity Fire,70,Medium
23.43518,77.3749,384.32,98,2026-05-27,1916,40.47,3,True,387.74666666666667,98.33333333333333,169.48,Bhopal Industrial Site 0349,Manufacturing Unit,0.048119947894784645,Persistent Industrial Source,90,High
23.43397,85.27901,378.21,97,2026-02-25,113,93.47,2,False,390.04999999999995,95.5,123.48,Ranchi Industrial Site 0163,Cement Plant,0.023198261436763335,High Intensity Fire,70,Medium
21.26748,86.55873,344.83,95,2026-08-24,1545,12.85,1,False,344.83,95.0,12.85,Bhubaneswar Industrial Site 0837,Paper Mill,101.03063706324652,Other Thermal Anomaly,25,Low
26.02388,91.74912,408.14,94,2026-02-18,1026,41.28,3,True,406.0933333333333,95.0,244.76,Guwahati Industrial Site 0362,Steel Plant,0.044674799146765774,Persistent Industrial Source,90,High
30.11887,76.71539,344.56,95,2026-07-12,1324,23.54,2,False,340.73,95.0,45.06,Panipat Industrial Site 0287,Paper Mill,56.70409373752452,Other Thermal Anomaly,25,Low
28.49794,76.88213,392.04,94,2026-03-20,54,32.82,2,False,387.425,96.5,67.7,Gurugram Industrial Site 0279,Manufacturing Unit,0.04533918504774707,High Intensity Fire,70,Medium
28.45009,76.76115,407.81,97,2026-08-10,1268,99.25,4,True,395.24,95.75,294.57,Gurugram Industrial Site 0135,Chemical Plant,0.06208254924752005,Persistent Industrial Source,90,High
17.37881,78.70879,405.54,99,2026-03-23,2394,42.75,2,False,391.295,97.5,124.21,Hyderabad Industrial Site 0150,Industrial Estate,0.03381533961165262,High Intensity Fire,70,Medium
9.58492,76.0908,327.4,72,2026-05-05,88,14.4,1,False,327.4,72.0,14.4,Kochi Industrial Site 0697,Paper Mill,18.472100335588244,Other Thermal Anomaly,0,Low
21.00692,72.76705,388.52,100,2026-04-24,2387,33.96,3,True,387.02,97.0,240.41000000000003,Surat Industrial Site 0160,Industrial Estate,0.049600524490500765,Persistent Industrial Source,90,High
23.40786,74.04713,320.69,93,2026-05-02,1911,15.69,1,False,320.69,93.0,15.69,Ahmedabad Industrial Site 0055,Chemical Plant,108.7901436414971,Other Thermal Anomaly,25,Low
19.57925,72.91806,401.19,95,2026-02-15,2394,81.51,2,False,402.27,97.0,113.57000000000001,Thane Industrial Site 0045,Chemical Plant,0.05592511376118414,High Intensity Fire,70,Medium
24.78309,84.6907,303.53,58,2026-05-21,1548,4.29,1,False,303.53,58.0,4.29,Gaya Industrial Site 0082,Steel Plant,3.0826599225340185,Other Thermal Anomaly,0,Low
20.21314,82.57305,334.0,94,2026-08-08,642,5.88,2,False,327.875,91.0,13.43,Raipur Industrial Site 0991,Power Plant,116.18643474482681,Other Thermal Anomaly,25,Low
28.32363,73.60315,335.94,65,2026-03-26,1922,11.48,1,False,335.94,65.0,11.48,Bikaner Industrial Site 0605,Chemical Plant,16.017772626635963,Other Thermal Anomaly,0,Low
21.84981,73.8877,327.65,91,2026-08-31,2191,16.63,1,False,327.65,91.0,16.63,Vadodara Industrial Site 0305,Chemical Plant,57.5776243733008,Other Thermal Anomaly,25,Low
28.35824,77.3452,302.67,72,2026-07-01,1101,17.89,1,False,302.67,72.0,17.89,Noida Industrial Site 0520,Industrial Estate,2.4466674351868862,Other Thermal Anomaly,0,Low
12.97402,80.3608,383.69,99,2026-05-25,1090,99.15,1,False,383.69,99.0,99.15,Chennai Industrial Site 0148,Thermal Power Plant,0.06848214913039959,High Intensity Fire,70,Medium
29.39302,76.93232,382.61,90,2026-07-10,571,44.97,1,False,382.61,90.0,44.97,Panipat Industrial Site 0095,Chemical Plant,6.925885515757644,High Intensity Fire,50,Medium
19.7441,73.80705,330.2,40,2026-02-28,322,1.94,1,False,330.2,40.0,1.94,Nashik Industrial Site 1051,Power Plant,6.292267035695587,Other Thermal Anomaly,0,Low
22.38625,84.26821,343.11,84,2026-03-20,912,22.6,1,False,343.11,84.0,22.6,Ranchi Industrial Site 0739,Manufacturing Unit,120.26141600056116,Other Thermal Anomaly,15,Low
31.81298,75.06697,362.29,88,2026-01-15,1722,15.94,1,False,362.29,88.0,15.94,Amritsar Industrial Site 0220,Industrial Estate,8.366449065545593,High Intensity Fire,30,Low
10.09612,76.183,381.44,96,2026-05-01,2101,37.92,2,False,380.63,97.0,121.11,Kochi Industrial Site 0169,Manufacturing Unit,0.07783277074575846,High Intensity Fire,70,Medium
31.83306,74.78482,399.49,98,2026-09-08,2250,42.96,2,False,391.71500000000003,95.0,72.14,Amritsar Industrial Site 0172,Steel Plant,0.05831589994027324,High Intensity Fire,70,Medium
21.13493,78.97685,375.87,100,2026-07-27,446,92.98,1,False,375.87,100.0,92.98,Nagpur Industrial Site 0159,Manufacturing Unit,0.030772624012942208,High Intensity Fire,70,Medium
16.49215,80.72319,374.87,98,2026-04-02,1552,26.26,3,True,383.10999999999996,95.33333333333333,198.5,Vijayawada Industrial Site 0167,Paper Mill,0.03569442423078987,Persistent Industrial Source,90,High
17.41473,79.83354,325.91,89,2026-06-30,527,8.75,1,False,325.91,89.0,8.75,Vijayawada Industrial Site 0839,Manufacturing Unit,73.82444177896879,Other Thermal Anomaly,15,Low
19.55585,75.56988,402.07,97,2026-01-30,1297,36.75,1,False,402.07,97.0,36.75,Aurangabad Industrial Site 0332,Steel Plant,0.044232091472426543,High Intensity Fire,70,Medium
21.07889,81.49292,374.55,99,2026-01-19,741,114.77,2,False,385.39,95.0,164.53,Raipur Industrial Site 0319,Manufacturing Unit,0.03971413967495541,High Intensity Fire,70,Medium
9.19183,75.18709,326.34,94,2026-04-04,1082,7.45,1,False,326.34,94.0,7.45,Kochi Industrial Site 0553,Cement Plant,108.72877699093651,Other Thermal Anomaly,25,Low
29.29502,77.16191,373.5,92,2026-01-28,2295,25.94,3,True,393.1466666666667,96.0,129.94,Panipat Industrial Site 0047,Paper Mill,0.04464679464698113,Persistent Industrial Source,90,High
19.28434,74.44551,327.29,85,2026-03-16,2094,19.55,1,False,327.29,85.0,19.55,Nashik Industrial Site 0763,Cement Plant,54.89133918772355,Other Thermal Anomaly,15,Low
21.15599,78.99999,381.16,98,2026-04-03,1957,25.61,2,False,393.58000000000004,98.0,82.28999999999999,Nagpur Industrial Site 0351,Power Plant,0.01820294660780668,High Intensity Fire,70,Medium
23.18717,70.05843,341.63,90,2026-08-30,1699,23.06,1,False,341.63,90.0,23.06,Rajkot Industrial Site 0834,Refinery,94.80038002463161,Other Thermal Anomaly,25,Low
25.26644,85.89682,358.79,95,2026-08-24,2041,27.02,1,False,358.79,95.0,27.02,Begusarai Industrial Site 1139,Manufacturing Unit,12.866330321951118,High Intensity Fire,40,Low
20.61405,73.03199,408.97,94,2026-04-01,854,68.79,2,False,403.71500000000003,96.5,145.19,Vapi Industrial Site 0096,Textile Industry,0.044068481397860654,High Intensity Fire,70,Medium
31.54106,74.8728,389.3,99,2026-01-02,1825,31.3,3,True,386.71999999999997,99.33333333333333,170.5,Amritsar Industrial Site 0124,Refinery,0.021651878724921223,Persistent Industrial Source,90,High
22.64717,88.38222,386.11,96,2026-07-08,2103,76.35,3,True,386.09,95.0,210.66,Kolkata Industrial Site 0099,Manufacturing Unit,0.06069124836711785,Persistent Industrial Source,90,High
21.38987,73.03016,302.9,56,2026-04-05,1508,3.39,1,False,302.9,56.0,3.39,Surat Industrial Site 0928,Thermal Power Plant,8.226359965949277,Other Thermal Anomaly,0,Low
28.63794,77.373,407.31,96,2026-06-13,1850,60.15,3,True,397.65000000000003,98.66666666666667,171.52,Noida Industrial Site 0280,Industrial Estate,0.029800818448592083,Persistent Industrial Source,90,High
29.50235,77.20186,384.15,92,2026-05-05,1433,24.56,1,False,384.15,92.0,24.56,Panipat Industrial Site 0719,Manufacturing Unit,9.796830089993716,High Intensity Fire,50,Medium
23.1206,72.59228,351.67,91,2026-04-18,136,20.19,1,False,351.67,91.0,20.19,Ahmedabad Industrial Site 0151,Power Plant,4.0618970216624595,High Intensity Fire,40,Low
28.01297,74.85706,335.67,89,2026-08-13,2020,5.5,2,False,340.19,85.0,15.93,Jaipur Industrial Site 1161,Power Plant,114.28474680678713,Other Thermal Anomaly,15,Low
20.2024,80.49069,343.83,92,2026-08-06,1105,17.78,1,False,343.83,92.0,17.78,Raipur Industrial Site 0223,Cement Plant,122.26112129768892,Other Thermal Anomaly,25,Low
21.25289,73.00615,405.62,97,2026-04-16,411,80.72,1,False,405.62,97.0,80.72,Surat Industrial Site 0064,Refinery,0.07031529091289879,High Intensity Fire,70,Medium
9.96366,76.6048,327.03,70,2026-04-12,321,9.02,1,False,327.03,70.0,9.02,Kochi Industrial Site 0409,Manufacturing Unit,18.234845663473696,Other Thermal Anomaly,0,Low
19.71094,75.43713,380.13,98,2026-07-11,1326,88.43,1,False,380.13,98.0,88.43,Aurangabad Industrial Site 0284,Refinery,0.050359675385638965,High Intensity Fire,70,Medium
25.1397,74.07172,327.68,93,2026-02-02,353,13.55,1,False,327.68,93.0,13.55,Jodhpur Industrial Site 0174,Refinery,124.29417009821937,Other Thermal Anomaly,25,Low
22.96353,70.11019,329.88,87,2026-06-23,1566,3.17,1,False,334.425,88.0,27.0,Rajkot Industrial Site 0834,Refinery,71.66909385347125,Other Thermal Anomaly,15,Low
19.04572,76.30811,326.75,85,2026-08-07,1833,8.16,1,False,326.75,85.0,8.16,Aurangabad Industrial Site 0332,Steel Plant,95.9864716139324,Other Thermal Anomaly,15,Low
19.2489,72.47902,378.95,97,2026-09-20,1715,35.76,2,False,377.995,94.0,89.24,Mumbai Industrial Site 0050,Industrial Estate,0.04622364807766634,High Intensity Fire,70,Medium
31.24783,74.93011,397.64,94,2026-07-05,1436,86.36,2,False,393.11,95.5,183.75,Amritsar Industrial Site 0076,Textile Industry,0.012569363066531473,High Intensity Fire,70,Medium
19.19845,74.78922,332.07,86,2026-02-25,515,4.75,1,False,332.07,86.0,4.75,Aurangabad Industrial Site 0812,Steel Plant,58.12928674667764,Other Thermal Anomaly,15,Low
22.29113,73.39943,344.1,86,2026-09-15,1562,12.92,1,False,344.1,86.0,12.92,Vadodara Industrial Site 0449,Manufacturing Unit,9.19749958149793,Other Thermal Anomaly,15,Low
25.72404,86.09794,383.78,100,2026-01-31,1060,40.52,1,False,383.78,100.0,40.52,Begusarai Industrial Site 0371,Power Plant,0.0128174550176446,High Intensity Fire,70,Medium
25.36216,76.00854,335.27,70,2026-03-10,378,4.75,1,False,335.27,70.0,4.75,Kota Industrial Site 0953,Cement Plant,8.347927367479112,Other Thermal Anomaly,0,Low
26.29898,80.64282,391.49,96,2026-01-21,2378,86.07,4,True,395.615,94.75,335.59,Kanpur Industrial Site 0347,Paper Mill,0.04461532318859168,Persistent Industrial Source,90,High
22.5805,85.30606,335.09,86,2026-06-12,1825,4.16,2,False,329.275,88.5,11.39,Ranchi Industrial Site 0019,Manufacturing Unit,59.034297317665754,Other Thermal Anomaly,15,Low
23.43325,85.40392,389.01,95,2026-08-07,534,32.06,1,False,389.01,95.0,32.06,Ranchi Industrial Site 0307,Paper Mill,0.0640310908926657,High Intensity Fire,70,Medium
27.03652,77.95732,381.68,97,2026-04-26,2354,44.29,1,False,381.68,97.0,44.29,Agra Industrial Site 0906,Textile Industry,2.4458140417210164,High Intensity Fire,50,Medium
26.56995,80.23381,401.98,95,2026-06-23,1209,75.98,1,False,401.98,95.0,75.98,Kanpur Industrial Site 0203,Cement Plant,0.051302713750753084,High Intensity Fire,70,Medium
25.65315,85.38786,397.39,91,2026-08-15,2394,61.27,3,True,388.5533333333333,92.33333333333333,183.43,Patna Industrial Site 0204,Refinery,0.05334912427319714,Persistent Industrial Source,90,High
23.6987,87.29864,332.37,75,2026-09-10,188,10.45,1,False,332.37,75.0,10.45,Durgapur Industrial Site 0272,Steel Plant,4.523391001242118,Other Thermal Anomaly,0,Low
22.71844,88.33954,385.23,85,2026-09-16,353,23.88,1,False,385.23,85.0,23.88,Kolkata Industrial Site 0387,Paper Mill,7.984879414843353,High Intensity Fire,40,Low
20.28707,73.73677,399.47,96,2026-01-03,2279,91.18,2,False,389.07500000000005,94.5,134.26,Nashik Industrial Site 0379,Manufacturing Unit,0.05571982042827077,High Intensity Fire,70,Medium
27.22605,78.09781,404.46,91,2026-05-29,2175,27.59,1,False,404.46,91.0,27.59,Agra Industrial Site 0378,Thermal Power Plant,0.03306016461322409,High Intensity Fire,70,Medium
21.45704,72.71205,382.17,96,2026-07-31,1314,79.27,2,False,377.24,95.0,117.74,Surat Industrial Site 0256,Textile Industry,0.026766924999065748,High Intensity Fire,70,Medium
27.07076,72.19019,332.96,83,2026-02-20,2105,23.03,1,False,332.96,83.0,23.03,Jodhpur Industrial Site 0414,Refinery,83.92590026609182,Other Thermal Anomaly,15,Low
22.09982,73.50894,338.44,59,2026-04-30,1768,1.44,1,False,338.44,59.0,1.44,Vadodara Industrial Site 0305,Chemical Plant,14.719289184650643,Other Thermal Anomaly,0,Low
21.45705,72.71189,372.31,94,2026-07-22,1282,38.47,2,False,377.24,95.0,117.74,Surat Industrial Site 0256,Textile Industry,0.031639682844418905,High Intensity Fire,70,Medium
30.82301,75.87478,384.35,98,2026-02-19,754,48.75,3,True,392.6233333333333,94.66666666666667,232.09,Ludhiana Industrial Site 0219,Manufacturing Unit,0.03856868222758431,Persistent Industrial Source,90,High
23.68282,84.30718,328.1,94,2026-03-08,58,8.45,1,False,328.1,94.0,8.45,Ranchi Industrial Site 0595,Chemical Plant,79.27233835178728,Other Thermal Anomaly,25,Low
22.93477,77.49212,324.52,63,2026-08-17,1147,11.3,1,False,324.52,63.0,11.3,Bhopal Industrial Site 0973,Cement Plant,4.8738735790221295,Other Thermal Anomaly,0,Low
31.14801,75.51013,394.05,91,2026-07-23,1208,91.45,2,False,395.695,92.0,123.24000000000001,Jalandhar Industrial Site 0238,Thermal Power Plant,0.06453690880496118,High Intensity Fire,70,Medium
