site_name,site_type,latitude,longitude
Coimbatore Industrial Site 0072,Steel Plant,10.85437,77.11425
Kochi Industrial Site 0073,Cement Plant,10.15243,76.0712
Guwahati Industrial Site 0074,Refinery,26.17628,91.95528
Ludhiana Industrial Site 0075,Chemical Plant,31.0202,76.00132
Amritsar Industrial Site 0076,Textile Industry,31.24774,74.93003
Bikaner Industrial Site 0077,Paper Mill,27.90684,73.13918
Jodhpur Industrial Site 0078,Thermal Power Plant,26.15003,72.9443
Raipur Industrial Site 0079,Manufacturing Unit,21.13216,81.56427
Durgapur Industrial Site 0080,Industrial Estate,23.5375,87.47265
Asansol Industrial Site 0081,Power Plant,23.84028,87.10892
Gaya Industrial Site 0082,Steel Plant,24.80677,84.70658
Begusarai Industrial Site 0083,Cement Plant,25.54148,86.09829
Munger Industrial Site 0084,Refinery,25.29637,86.27816
Bokaro Industrial Site 0085,Chemical Plant,23.63402,86.06147
Faridabad Industrial Site 0086,Textile Industry,28.21801,77.20436
Gurugram Industrial Site 0087,Paper Mill,28.5082,77.03174
Noida Industrial Site 0088,Thermal Power Plant,28.47892,77.36134
Kota Industrial Site 0089,Manufacturing Unit,25.26391,75.81499
Agra Industrial Site 0090,Industrial Estate,27.49143,77.88421
Nashik Industrial Site 0091,Power Plant,19.88663,73.86931
Aurangabad Industrial Site 0092,Steel Plant,19.80439,75.42489
Thane Industrial Site 0093,Cement Plant,18.9147,72.71068
Jalandhar Industrial Site 0094,Refinery,31.52914,75.73765
Panipat Industrial Site 0095,Chemical Plant,29.45529,76.93394
Vapi Industrial Site 0096,Textile Industry,20.61392,73.03159
Delhi Industrial Site 0097,Paper Mill,28.8708,77.67093
Mumbai Industrial Site 0098,Thermal Power Plant,18.80455,72.69144
Kolkata Industrial Site 0099,Manufacturing Unit,22.64743,88.3817
Chennai Industrial Site 0100,Industrial Estate,12.88404,80.27941
Bengaluru Industrial Site 0101,Power Plant,12.93745,77.78541
Hyderabad Industrial Site 0102,Steel Plant,17.31224,78.6069
Ahmedabad Industrial Site 0103,Cement Plant,22.84258,72.72656
Pune Industrial Site 0104,Refinery,18.71563,73.90259
Jaipur Industrial Site 0105,Chemical Plant,26.71894,75.75447
Lucknow Industrial Site 0106,Textile Industry,26.90405,80.89546
Kanpur Industrial Site 0107,Paper Mill,26.50692,80.37709
Patna Industrial Site 0108,Thermal Power Plant,25.60338,84.90271
Bhopal Industrial Site 0109,Manufacturing Unit,23.34387,77.39988
Indore Industrial Site 0110,Industrial Estate,22.69688,75.78866
Nagpur Industrial Site 0111,Power Plant,20.91703,79.17025
Surat Industrial Site 0112,Steel Plant,21.09863,72.78297
Vadodara Industrial Site 0113,Cement Plant,22.28623,73.18411
Rajkot Industrial Site 0114,Refinery,22.41417,70.76629
Ranchi Industrial Site 0115,Chemical Plant,23.27368,85.42075
Jamshedpur Industrial Site 0116,Textile Industry,23.00721,86.28379
Bhubaneswar Industrial Site 0117,Paper Mill,20.42281,85.7288
Visakhapatnam Industrial Site 0118,Thermal Power Plant,17.57519,83.29435
Vijayawada Industrial Site 0119,Manufacturing Unit,16.38507,80.61858
Coimbatore Industrial Site 0120,Industrial Estate,10.71924,77.00051
Kochi Industrial Site 0121,Power Plant,10.06947,76.44374
Guwahati Industrial Site 0122,Steel Plant,26.06974,91.71423
Ludhiana Industrial Site 0123,Cement Plant,30.74939,75.8266
Amritsar Industrial Site 0124,Refinery,31.54125,74.87275
Bikaner Industrial Site 0125,Chemical Plant,27.77114,73.39044
Jodhpur Industrial Site 0126,Textile Industry,26.4499,72.71717
Raipur Industrial Site 0127,Paper Mill,21.11168,81.89181
Durgapur Industrial Site 0128,Thermal Power Plant,23.48961,87.09572
Asansol Industrial Site 0129,Manufacturing Unit,23.68522,86.95733
Gaya Industrial Site 0130,Industrial Estate,24.63357,84.9567
Begusarai Industrial Site 0131,Power Plant,25.72459,86.23015
Munger Industrial Site 0132,Steel Plant,25.15276,86.56209
Bokaro Industrial Site 0133,Cement Plant,23.42807,86.13604
Faridabad Industrial Site 0134,Refinery,28.26151,77.40978
Gurugram Industrial Site 0135,Chemical Plant,28.45016,76.76052
Noida Industrial Site 0136,Textile Industry,28.48343,77.54359
Kota Industrial Site 0137,Paper Mill,25.26288,75.79756
Agra Industrial Site 0138,Thermal Power Plant,27.33242,77.76241
Nashik Industrial Site 0139,Manufacturing Unit,19.96283,73.63156
Aurangabad Industrial Site 0140,Industrial Estate,19.8497,74.91694
Thane Industrial Site 0141,Power Plant,18.99666,73.00502
Jalandhar Industrial Site 0142,Steel Plant,31.66654,75.84887
Panipat Industrial Site 0143,Cement Plant,29.13863,77.01371
Vapi Industrial Site 0144,Refinery,20.05196,72.74447
Delhi Industrial Site 0145,Chemical Plant,28.69797,77.00665
Mumbai Industrial Site 0146,Textile Industry,19.3212,72.77317
Kolkata Industrial Site 0147,Paper Mill,22.60679,88.1246
Chennai Industrial Site 0148,Thermal Power Plant,12.97434,80.36134
Bengaluru Industrial Site 0149,Manufacturing Unit,12.95555,77.66697
Hyderabad Industrial Site 0150,Industrial Estate,17.37859,78.70901
Ahmedabad Industrial Site 0151,Power Plant,23.09663,72.56231
Pune Industrial Site 0152,Steel Plant,18.50648,73.79768
Jaipur Industrial Site 0153,Cement Plant,26.74428,75.59652
Lucknow Industrial Site 0154,Refinery,26.95847,80.83274
Kanpur Industrial Site 0155,Chemical Plant,26.36384,80.19799
Patna Industrial Site 0156,Textile Industry,25.60914,85.44651
Bhopal Industrial Site 0157,Paper Mill,23.26638,77.32013
Indore Industrial Site 0158,Thermal Power Plant,22.39271,75.76245
Nagpur Industrial Site 0159,Manufacturing Unit,21.13515,78.97703
Surat Industrial Site 0160,Industrial Estate,21.00707,72.7666
Vadodara Industrial Site 0161,Power Plant,22.36563,73.1469
Rajkot Industrial Site 0162,Steel Plant,22.2425,70.82445
Ranchi Industrial Site 0163,Cement Plant,23.43389,85.27922
Jamshedpur Industrial Site 0164,Refinery,22.87435,86.42395
Bhubaneswar Industrial Site 0165,Chemical Plant,20.28836,85.73241
Visakhapatnam Industrial Site 0166,Textile Industry,17.71778,83.4621
Vijayawada Industrial Site 0167,Paper Mill,16.4924,80.7234
Coimbatore Industrial Site 0168,Thermal Power Plant,10.8733,77.07814
Kochi Industrial Site 0169,Manufacturing Unit,10.0955,76.18333
Guwahati Industrial Site 0170,Industrial Estate,26.09522,91.78939
Ludhiana Industrial Site 0171,Power Plant,31.01285,75.77298
Amritsar Industrial Site 0172,Steel Plant,31.8334,74.78529
Bikaner Industrial Site 0173,Cement Plant,27.84796,73.23198
Jodhpur Industrial Site 0174,Refinery,26.00884,73.29245
Raipur Industrial Site 0175,Chemical Plant,21.29403,81.64327
Durgapur Industrial Site 0176,Textile Industry,23.63923,87.14514
Asansol Industrial Site 0177,Paper Mill,23.45284,86.91382
Gaya Industrial Site 0178,Thermal Power Plant,24.73392,85.0094
Begusarai Industrial Site 0179,Manufacturing Unit,25.30494,86.14145
Munger Industrial Site 0180,Industrial Estate,25.38393,86.21279
Bokaro Industrial Site 0181,Power Plant,23.79615,86.20975
Faridabad Industrial Site 0182,Steel Plant,28.52649,77.38361
Gurugram Industrial Site 0183,Cement Plant,28.69395,77.24324
Noida Industrial Site 0184,Refinery,28.58966,77.2599
Kota Industrial Site 0185,Chemical Plant,25.05319,76.06399
Agra Industrial Site 0186,Textile Industry,27.44472,77.96904
Nashik Industrial Site 0187,Paper Mill,20.22297,73.61706
Aurangabad Industrial Site 0188,Thermal Power Plant,19.98949,75.04723
Thane Industrial Site 0189,Manufacturing Unit,19.56077,73.05941
Jalandhar Industrial Site 0190,Industrial Estate,31.44082,75.71056
Panipat Industrial Site 0191,Power Plant,29.29756,76.8738
Vapi Industrial Site 0192,Steel Plant,20.32377,72.88091
Delhi Industrial Site 0193,Cement Plant,28.68578,77.27668
Mumbai Industrial Site 0194,Refinery,19.10932,72.9067
Kolkata Industrial Site 0195,Chemical Plant,22.59232,88.44088
Chennai Industrial Site 0196,Textile Industry,13.01902,80.37459
Bengaluru Industrial Site 0197,Paper Mill,12.88919,77.27655
Hyderabad Industrial Site 0198,Thermal Power Plant,17.58853,78.4759
Ahmedabad Industrial Site 0199,Manufacturing Unit,22.97902,72.34584
Pune Industrial Site 0200,Industrial Estate,18.51229,73.95821
Jaipur Industrial Site 0201,Power Plant,26.93996,75.83119
Lucknow Industrial Site 0202,Steel Plant,26.66779,80.96157
Kanpur Industrial Site 0203,Cement Plant,26.57023,80.23422
Patna Industrial Site 0204,Refinery,25.65276,85.38755
Bhopal Industrial Site 0205,Chemical Plant,23.05724,77.24131
Indore Industrial Site 0206,Textile Industry,22.90979,75.65529
Nagpur Industrial Site 0207,Paper Mill,21.23364,79.133
Surat Industrial Site 0208,Thermal Power Plant,21.25617,72.68772
Vadodara Industrial Site 0209,Manufacturing Unit,22.11195,72.88399
Rajkot Industrial Site 0210,Industrial Estate,22.30713,70.74276
Ranchi Industrial Site 0211,Power Plant,23.28496,85.33692
Jamshedpur Industrial Site 0212,Steel Plant,22.80901,86.53029
Bhubaneswar Industrial Site 0213,Cement Plant,20.51385,85.57833
Visakhapatnam Industrial Site 0214,Refinery,17.71497,83.19673
Vijayawada Industrial Site 0215,Chemical Plant,16.25426,80.31199
Coimbatore Industrial Site 0216,Textile Industry,11.04906,76.8157
Kochi Industrial Site 0217,Paper Mill,10.01432,76.17434
Guwahati Industrial Site 0218,Thermal Power Plant,26.17757,91.76217
Ludhiana Industrial Site 0219,Manufacturing Unit,30.82281,75.87511
Amritsar Industrial Site 0220,Industrial Estate,31.79142,74.98215
Bikaner Industrial Site 0221,Power Plant,28.12025,73.11068
Jodhpur Industrial Site 0222,Steel Plant,26.09623,73.0015
Raipur Industrial Site 0223,Cement Plant,21.12305,81.13315
Durgapur Industrial Site 0224,Refinery,23.47069,87.1433
Asansol Industrial Site 0225,Chemical Plant,23.69248,86.88502
Gaya Industrial Site 0226,Textile Industry,24.92801,84.88106
Begusarai Industrial Site 0227,Paper Mill,25.16816,85.97139
Munger Industrial Site 0228,Thermal Power Plant,25.30082,86.59402
Bokaro Industrial Site 0229,Manufacturing Unit,23.54656,85.99994
Faridabad Industrial Site 0230,Industrial Estate,28.46786,77.09326
Gurugram Industrial Site 0231,Power Plant,28.28133,76.8553
Noida Industrial Site 0232,Steel Plant,28.82841,77.55214
Kota Industrial Site 0233,Cement Plant,25.19589,75.92357
Agra Industrial Site 0234,Refinery,27.24841,78.1925
Nashik Industrial Site 0235,Chemical Plant,20.00578,73.65247
Aurangabad Industrial Site 0236,Textile Industry,19.75612,75.69362
Thane Industrial Site 0237,Paper Mill,19.49181,73.27079
Jalandhar Industrial Site 0238,Thermal Power Plant,31.1476,75.50965
Panipat Industrial Site 0239,Manufacturing Unit,29.70706,77.19909
Vapi Industrial Site 0240,Industrial Estate,20.80694,72.67842
Delhi Industrial Site 0241,Power Plant,28.20007,77.10446
Mumbai Industrial Site 0242,Steel Plant,19.09454,72.91793
Kolkata Industrial Site 0243,Cement Plant,22.56049,88.19346
Chennai Industrial Site 0244,Refinery,12.73364,79.88237
Bengaluru Industrial Site 0245,Chemical Plant,12.93566,77.71537
Hyderabad Industrial Site 0246,Textile Industry,17.22902,78.50601
Ahmedabad Industrial Site 0247,Paper Mill,23.1646,72.11044
Pune Industrial Site 0248,Thermal Power Plant,18.42415,73.96665
Jaipur Industrial Site 0249,Manufacturing Unit,27.12195,75.78069
Lucknow Industrial Site 0250,Industrial Estate,26.92423,81.16091
Kanpur Industrial Site 0251,Power Plant,26.14668,80.65161
Patna Industrial Site 0252,Steel Plant,25.6662,85.25774
Bhopal Industrial Site 0253,Cement Plant,23.12171,77.31859
Indore Industrial Site 0254,Refinery,23.01051,76.02529
Nagpur Industrial Site 0255,Chemical Plant,20.97013,79.31022
Surat Industrial Site 0256,Textile Industry,21.45728,72.71207
Vadodara Industrial Site 0257,Paper Mill,22.37949,73.33331
Rajkot Industrial Site 0258,Thermal Power Plant,22.29624,70.81693
Ranchi Industrial Site 0259,Manufacturing Unit,23.60588,85.40167
Jamshedpur Industrial Site 0260,Industrial Estate,22.61744,86.10826
Bhubaneswar Industrial Site 0261,Power Plant,20.23281,85.97165
Visakhapatnam Industrial Site 0262,Steel Plant,17.72005,83.34495
Vijayawada Industrial Site 0263,Cement Plant,16.51978,80.41136
Coimbatore Industrial Site 0264,Refinery,11.36669,76.50711
Kochi Industrial Site 0265,Chemical Plant,9.64975,76.6743
Guwahati Industrial Site 0266,Textile Industry,26.31404,91.75994
Ludhiana Industrial Site 0267,Paper Mill,30.79949,75.97353
Amritsar Industrial Site 0268,Thermal Power Plant,31.5369,74.76135
Bikaner Industrial Site 0269,Manufacturing Unit,27.81852,73.37693
Jodhpur Industrial Site 0270,Industrial Estate,26.02539,73.21163
Raipur Industrial Site 0271,Power Plant,21.28004,81.80919
Durgapur Industrial Site 0272,Steel Plant,23.72268,87.33453
Asansol Industrial Site 0273,Cement Plant,23.77219,87.13316
Gaya Industrial Site 0274,Refinery,24.37731,84.96937
Begusarai Industrial Site 0275,Chemical Plant,25.63808,86.05371
Munger Industrial Site 0276,Textile Industry,25.64138,86.36005
Bokaro Industrial Site 0277,Paper Mill,23.53424,86.40885
Faridabad Industrial Site 0278,Thermal Power Plant,28.36276,77.28164
Gurugram Industrial Site 0279,Manufacturing Unit,28.49754,76.88204
Noida Industrial Site 0280,Industrial Estate,28.63789,77.3733
Kota Industrial Site 0281,Power Plant,25.16077,75.93524
Agra Industrial Site 0282,Steel Plant,27.18802,78.08412
Nashik Industrial Site 0283,Cement Plant,20.1665,73.69418
Aurangabad Industrial Site 0284,Refinery,19.71136,75.43695
Thane Industrial Site 0285,Chemical Plant,19.29182,72.91394
Jalandhar Industrial Site 0286,Textile Industry,31.24372,75.70464
Panipat Industrial Site 0287,Paper Mill,29.63595,76.90433
Vapi Industrial Site 0288,Thermal Power Plant,20.42552,72.95243
Delhi Industrial Site 0289,Manufacturing Unit,28.35214,76.94985
Mumbai Industrial Site 0290,Industrial Estate,19.17535,73.11964
Kolkata Industrial Site 0291,Power Plant,22.50046,88.47319
Chennai Industrial Site 0292,Steel Plant,12.84731,80.47701
Bengaluru Industrial Site 0293,Cement Plant,13.26304,77.44249
Hyderabad Industrial Site 0294,Refinery,17.50133,78.5582
Ahmedabad Industrial Site 0295,Chemical Plant,23.20047,72.41831
Pune Industrial Site 0296,Textile Industry,18.49619,73.79409
Jaipur Industrial Site 0297,Paper Mill,27.04322,75.60717
Lucknow Industrial Site 0298,Thermal Power Plant,26.86775,80.75131
Kanpur Industrial Site 0299,Manufacturing Unit,26.36249,80.59397
Patna Industrial Site 0300,Industrial Estate,25.56863,85.16426
Bhopal Industrial Site 0301,Power Plant,23.04028,77.57381
Indore Industrial Site 0302,Steel Plant,22.5428,75.77108
Nagpur Industrial Site 0303,Cement Plant,20.84281,79.06835
Surat Industrial Site 0304,Refinery,21.16578,72.58922
Vadodara Industrial Site 0305,Chemical Plant,22.23218,73.511
Rajkot Industrial Site 0306,Textile Industry,22.27875,70.66619
Ranchi Industrial Site 0307,Paper Mill,23.43347,85.4045
Jamshedpur Industrial Site 0308,Thermal Power Plant,22.80897,86.19919
Bhubaneswar Industrial Site 0309,Manufacturing Unit,20.45088,85.91342
Visakhapatnam Industrial Site 0310,Industrial Estate,17.51122,83.19646
Vijayawada Industrial Site 0311,Power Plant,16.51797,80.84688
Coimbatore Industrial Site 0312,Steel Plant,11.04436,76.81395
Kochi Industrial Site 0313,Cement Plant,10.05587,76.30732
Guwahati Industrial Site 0314,Refinery,26.06849,91.76239
Ludhiana Industrial Site 0315,Chemical Plant,30.80292,75.51853
Amritsar Industrial Site 0316,Textile Industry,31.47708,74.86931
Bikaner Industrial Site 0317,Paper Mill,27.98055,73.22983
Jodhpur Industrial Site 0318,Thermal Power Plant,26.26059,73.38789
Raipur Industrial Site 0319,Manufacturing Unit,21.07921,81.49309
Durgapur Industrial Site 0320,Industrial Estate,23.75447,87.24422
Asansol Industrial Site 0321,Power Plant,23.6019,87.03637
Gaya Industrial Site 0322,Steel Plant,24.57637,84.96589
Begusarai Industrial Site 0323,Cement Plant,25.22736,86.20865
Munger Industrial Site 0324,Refinery,25.44578,86.20154
Bokaro Industrial Site 0325,Chemical Plant,23.37889,86.01111
Faridabad Industrial Site 0326,Textile Industry,28.26359,77.1694
Gurugram Industrial Site 0327,Paper Mill,28.41229,77.02769
Noida Industrial Site 0328,Thermal Power Plant,28.48347,77.40626
Kota Industrial Site 0329,Manufacturing Unit,25.01911,75.64854
Agra Industrial Site 0330,Industrial Estate,27.04624,78.06843
Nashik Industrial Site 0331,Power Plant,20.11568,73.9006
Aurangabad Industrial Site 0332,Steel Plant,19.55589,75.5703
Thane Industrial Site 0333,Cement Plant,19.41397,73.05626
Jalandhar Industrial Site 0334,Refinery,31.29384,75.85355
Panipat Industrial Site 0335,Chemical Plant,29.36729,77.0194
Vapi Industrial Site 0336,Textile Industry,20.16732,72.97401
Delhi Industrial Site 0337,Paper Mill,28.50031,77.30715
Mumbai Industrial Site 0338,Thermal Power Plant,19.02774,72.8088
Kolkata Industrial Site 0339,Manufacturing Unit,22.69315,88.47105
Chennai Industrial Site 0340,Industrial Estate,13.00323,80.12982
Bengaluru Industrial Site 0341,Power Plant,12.86958,77.73549
Hyderabad Industrial Site 0342,Steel Plant,17.41633,78.62886
Ahmedabad Industrial Site 0343,Cement Plant,22.95537,72.6884
Pune Industrial Site 0344,Refinery,18.4038,74.08657
Jaipur Industrial Site 0345,Chemical Plant,26.99126,75.51677
Lucknow Industrial Site 0346,Textile Industry,26.99962,80.94416
Kanpur Industrial Site 0347,Paper Mill,26.2993,80.64255
Patna Industrial Site 0348,Thermal Power Plant,25.53692,85.26804
Bhopal Industrial Site 0349,Manufacturing Unit,23.43478,77.37508
Indore Industrial Site 0350,Industrial Estate,22.77506,75.76483
Nagpur Industrial Site 0351,Power Plant,21.1561,78.99986
Surat Industrial Site 0352,Steel Plant,20.88161,72.9654
Vadodara Industrial Site 0353,Cement Plant,22.35525,73.21063
Rajkot Industrial Site 0354,Refinery,22.34492,70.98814
Ranchi Industrial Site 0355,Chemical Plant,23.19629,85.30468
Jamshedpur Industrial Site 0356,Textile Industry,22.80225,86.40656
Bhubaneswar Industrial Site 0357,Paper Mill,20.45359,85.60015
Visakhapatnam Industrial Site 0358,Thermal Power Plant,17.67937,83.4417
Vijayawada Industrial Site 0359,Manufacturing Unit,16.66234,80.71256
Coimbatore Industrial Site 0360,Industrial Estate,10.88584,76.93924
Kochi Industrial Site 0361,Power Plant,9.68696,76.3948
Guwahati Industrial Site 0362,Steel Plant,26.02363,91.74947
Ludhiana Industrial Site 0363,Cement Plant,30.88644,75.92005
Amritsar Industrial Site 0364,Refinery,31.79718,74.95426
Bikaner Industrial Site 0365,Chemical Plant,27.86296,73.43531
Jodhpur Industrial Site 0366,Textile Industry,26.15476,72.97342
Raipur Industrial Site 0367,Paper Mill,21.38501,81.40282
Durgapur Industrial Site 0368,Thermal Power Plant,23.60924,87.32651
Asansol Industrial Site 0369,Manufacturing Unit,23.59537,86.73919
Gaya Industrial Site 0370,Industrial Estate,24.56809,84.8127
Begusarai Industrial Site 0371,Power Plant,25.72408,86.09782
Munger Industrial Site 0372,Steel Plant,25.32823,86.47897
Bokaro Industrial Site 0373,Cement Plant,23.62495,86.33582
Faridabad Industrial Site 0374,Refinery,28.54149,77.27082
Gurugram Industrial Site 0375,Chemical Plant,28.65379,77.09726
Noida Industrial Site 0376,Textile Industry,28.54953,77.23205
Kota Industrial Site 0377,Paper Mill,25.19791,75.67012
Agra Industrial Site 0378,Thermal Power Plant,27.22632,78.09795
Nashik Industrial Site 0379,Manufacturing Unit,20.28729,73.73725
Aurangabad Industrial Site 0380,Industrial Estate,19.88823,75.7148
Thane Industrial Site 0381,Power Plant,19.16313,72.96088
Jalandhar Industrial Site 0382,Steel Plant,31.31707,75.40216
Panipat Industrial Site 0383,Cement Plant,29.57964,76.79134
Vapi Industrial Site 0384,Refinery,20.45303,72.83107
Delhi Industrial Site 0385,Chemical Plant,28.46449,77.14524
Mumbai Industrial Site 0386,Textile Industry,19.18347,72.97801
Kolkata Industrial Site 0387,Paper Mill,22.67434,88.27811
Chennai Industrial Site 0388,Thermal Power Plant,12.99258,80.36148
Bengaluru Industrial Site 0389,Manufacturing Unit,13.16347,77.64853
Hyderabad Industrial Site 0390,Industrial Estate,17.46562,78.53819
Ahmedabad Industrial Site 0391,Power Plant,23.12789,72.27955
Pune Industrial Site 0392,Steel Plant,18.77098,73.5463
Jaipur Industrial Site 0393,Cement Plant,27.09682,75.78692
Lucknow Industrial Site 0394,Refinery,26.63615,81.13753
Kanpur Industrial Site 0395,Chemical Plant,26.24614,80.31881
Patna Industrial Site 0396,Textile Industry,25.84971,85.27635
Bhopal Industrial Site 0397,Paper Mill,23.32045,77.58832
Indore Industrial Site 0398,Thermal Power Plant,22.69463,75.94919
Nagpur Industrial Site 0399,Manufacturing Unit,21.28653,78.83698
Surat Industrial Site 0400,Industrial Estate,21.24947,72.72047
Vadodara Industrial Site 0401,Power Plant,22.37515,73.18671
Rajkot Industrial Site 0402,Steel Plant,22.38122,70.88678
Ranchi Industrial Site 0403,Cement Plant,23.24302,85.30241
Jamshedpur Industrial Site 0404,Refinery,22.9211,86.19548
Bhubaneswar Industrial Site 0405,Chemical Plant,20.23544,85.76024
Visakhapatnam Industrial Site 0406,Textile Industry,17.59301,83.25604
Vijayawada Industrial Site 0407,Paper Mill,16.44022,80.39793
Coimbatore Industrial Site 0408,Thermal Power Plant,11.12082,76.72263
Kochi Industrial Site 0409,Manufacturing Unit,9.98854,76.44022
Guwahati Industrial Site 0410,Industrial Estate,25.85554,91.72983
Ludhiana Industrial Site 0411,Power Plant,30.88847,75.63992
Amritsar Industrial Site 0412,Steel Plant,31.45533,75.03496
Bikaner Industrial Site 0413,Cement Plant,28.00377,73.23257
Jodhpur Industrial Site 0414,Refinery,26.4372,72.64958
Raipur Industrial Site 0415,Chemical Plant,21.2507,81.37479
Durgapur Industrial Site 0416,Textile Industry,23.55549,87.16468
Asansol Industrial Site 0417,Paper Mill,23.67007,86.6571
Gaya Industrial Site 0418,Thermal Power Plant,24.96102,85.11021
Begusarai Industrial Site 0419,Manufacturing Unit,25.60276,85.83699
Munger Industrial Site 0420,Industrial Estate,25.21286,86.54393
Bokaro Industrial Site 0421,Power Plant,23.62455,86.34807
Faridabad Industrial Site 0422,Steel Plant,28.45708,77.23645
Gurugram Industrial Site 0423,Cement Plant,28.42136,77.25205
Noida Industrial Site 0424,Refinery,28.3165,77.40083
Kota Industrial Site 0425,Chemical Plant,24.90042,75.89497
Agra Industrial Site 0426,Textile Industry,26.99699,77.8692
Nashik Industrial Site 0427,Paper Mill,19.86482,73.86468
Aurangabad Industrial Site 0428,Thermal Power Plant,19.67945,75.37978
Thane Industrial Site 0429,Manufacturing Unit,19.23506,72.81085
Jalandhar Industrial Site 0430,Industrial Estate,31.58773,75.68277
Panipat Industrial Site 0431,Power Plant,29.14416,76.91582
Vapi Industrial Site 0432,Steel Plant,20.63159,72.79505
